도서명,작가,출판사,출판연도
중국어 실용 한중사전,이태훈 지음,인터북스,1998
하이데거의 존재와 시간을 찾아서,F. W. 폰 헤르만 지음 ; 신상희 옮김,한길사,1997
가정의례서식백과,한국전통의례서식연구회 편,일송미디어,1998
홀로서기 자녀교육,조병묵 지음,일송미디어,1997
단체 제정론,단체 지음 ; 성 염 옮김,철학과 현실사,1997
스콜라 철학의 기본개념,요셉 드 프리스 지음 ; 신창석 옮김,분도출판사,1997
국토와 민족생활사,최영준 지음,한길사,1997
실용 풍수지리; 실화와 이론,김항배 지음,일산출판사,1997
방언 사전,김병제 지음,한국문화사,1995
우리둘이 서로보기,이관용 지음,대학출판사,1988
학습 심리학,윈프레드 F.힐 지음 ; 이영애 옮김,을유문화사,1998
만화로 보는 철학여행,리차드 오스본 지음 ; 고정식 옮김,넥서스,1995
헤겔 논리학,G.W.F. 헤겔 지음 ; 김계숙 옮김,서 문,1997
증명과 설명,김광수 지음,철학과 현실사,1997
탐구의 논리,김광수 지음,철학과 현실사,1997
플라톤 : 노예로 팔릴 뻔한 이데아의 영혼. 2,폴 스트래던 지음 ; 강철웅 옮김,펀앤런 북스,1998
창조적인 작가와 몽상,지그문트 프로이트 지음 ; 정장진 옮김,열린책들,1997
오페라를 만나러 가자. 2 : 이야기로 읽는 명작 28편,김선옥 ; 양진모 엮음,풀 빛,1997
심의(深衣),정혜경 지음,경남대출판부,1998
사회교육법규론,권두승 저,교육과학사,1998
조선시대 사상사의 재조명,지두환 지음,역사문화,1998
흙. 2,이광수 저,소담,1995
(역순겸용)진명 일본어한자읽기사전,윤현중 편저,진명,1998
여성을 위한 세상을 보는 지혜,캐럴 스페너 라 러소 編著 ; 강무환 譯,둥지,1998
과정과 실재 : 유기체적 세계관의 구상,A.N. 화이트헤드지음 ; 오영환 옮김,민음사,1997
기호학으로의 초대,안느 에노 지음 ; 홍정표 옮김,어문학사,1997
중세철학 이야기,K. 플라시 지음 ; 신창석 옮김,서광사,1998
(서울대선정)동서고전 200선. 2 : 해제,반덕진 편저,가람기획,1997
(서울대선정)동서고전 200선. 3 : 해제,반덕진 편저,가람기획,1997
(서울대선정)동서고전 200선. 4 : 해제,반덕진 편저,가람기획,1996
독일 철학과20세기 한국의 철학,백종현 지음,철학과현실사,1998
실학의 철학,한국사상연구회 편저,예문서원,1996
신의존재증명,김상렬 지음,한누리미디어,1996
라틴-한글 사전,카톨릭대학교 고전라틴어연구소 저,카톨릭대학교출판부,1995
해석학은 무엇인가,[한국해석학회] 엮음,지평문화사,1995
과학적 발견의 논리,칼포퍼 지음 ; 박우석 옮김,고려원,1994
계몽주의 철학,에른스트 카시러 지음 ; 박완규 옮김,민음사,1995
기초 작곡 입문,다라 편집부,다라,1995
국어문법,서정수 지음,뿌리깊은나무,1994
신사임당,김은희 지음,효리원,2008
한글궁체서법,박병천 [저],일지사,1994
노랑이눈을 아프게 쏘아대는 이유,에밀시오랑 지음 ; 박현철 옮김,산수야,1995
철학적 농담,로버트 E.에그너,책세상,1994
(最新)韓漢大辭典,張三植 編著,범우사,1992
해명,미셸 세르 지음 ; 박동찬 엮,솔,1994
아우구스티누스,이석우 지음,민음사,1995
자연농장활동,한국청소년개발원 편,인간과복지,1994
(문화나들이 2000)엄마아빠 일요일에 여기가요,나들이연구모임 엮음,혜인,2000
세계 대탐험 이야기,사라 해리슨 지음 ; 김지영 옮김,국민서관,2010
동일성과 차이,마르틴 하이데거 ; 신상희 옮김,민음사,2001
"1894년, 경복궁을 점령하라!",나카츠카 아키라 지음 ; 박맹수 옮김,푸른역사,2002
한국만화 인명사전,손상익 한국만화문화연구원 편,시공사,2002
천하관과근대화론,이혜경 저,문학과지성사,2002
사랑으로가르치기;유아교육에 대한 페미니스트 접근,염지숙 역,창지사,2001
경찰학강의,진동규 편저,보성,2002
벽초 홍명희 연구,강영주,창작과비평사,2002
미국 비자 절대로 거절당하지 않는 법,조셉 메릴 지음 ; 이나윤 옮김,예지,2002
(어린이를 위한)음악사전,박영수 지음,입력,1999
상사화. 1,김윤희 지음,태동,2002
"한국 능금의 역사, 그 기원과 발전",이호철 지음,문학과지성사,2002
사라져 가는 세시 풍속,이동렬 지음 ; 이서지 그림,두산동아,2001
화첩기행2 달이 뜬다 북을 울려라,김병종,효형출판,2001
9.11 위대한 기만,이리유카바 최 지음,문예춘추사,2002
그림자 새,임판 지음,청어,2002
(일터로 간)화성남자 금성여자,존 그레이 지음 ; 노진선 옮김,들녘미디어,2002
장이 : 사라져가는 토종문화를 찾아서,이용한 글 ; 심병우 사진,실천문학사,2001
(인물화로 보는)조선시대 우리옷,권오창 지음,현암사,2002
(인물화로 보는)조선시대 우리옷,권오창 지음,현암사,2002
(한 권으로 보는)권모술수,이언호 편역,큰방,2002
우주의 구멍,K. C. 콜 지음 ; 김희봉 옮김,해냄출판사,2002
공부가 싫어질때 1분간 명상하라,다산학습명상연구회 편,오리진,2002
생쥐 수프,아놀드 로벨 글.그림 ; 엄혜숙 옮김,비룡소,2008
아들과 함께 걷는 길,이순원 지음,해냄,2002
우리 나라 전설,모봉구 저,두레미디어,2002
민속의 슬기,임동권 지음,민속원,2000
농경생활의 문화읽기,배영동 지음,민속원,2001
